,interacted_at;DATA;;;;;;VENDAS TOTAIS;Compras e offers;REWARDS
69765;04/01/2019;00:00:00;1;;;JAN;770;630;140
69930;04/01/2019;00:01:00;1;;;FEV ;679;563;116
69651;04/01/2019;00:21:00;1;;;MAR;663;532;131
69653;04/01/2019;00:28:00;1;;;ABR;1799;1546;253
73027;04/01/2019;01:16:00;1;;;MAIO;2556;2135;421
73031;04/01/2019;01:40:00;1;;;JUN;2671;2154;517
69275;04/01/2019;13:52:00;1;;;JUL;2955;2333;622
69277;04/01/2019;14:16:00;1;;;AGO;2948;2337;611
69941;04/01/2019;14:34:00;1;;;SET;2874;2264;610
69067;04/01/2019;14:59:00;1;;;OUT;2502;1998;504
69950;04/01/2019;15:13:00;1;;;NOV;729;612;117
69665;04/01/2019;15:13:00;1;;;DEZ;707;579;128
69667;04/01/2019;15:16:00;1;;;;;;
69953;04/01/2019;15:18:00;1;;;;;;
69799;04/01/2019;15:23:00;1;;;;;;
69800;04/01/2019;15:31:00;1;;;;;;
69074;04/01/2019;15:32:00;1;;;;;;
69673;04/01/2019;15:35:00;1;;;;;;
69959;04/01/2019;15:38:00;1;;;;;;
69142;04/01/2019;15:40:00;1;;;;;;
69804;04/01/2019;15:41:00;1;;;;;;
69579;04/01/2019;15:45:00;1;;;;;;
69084;04/01/2019;16:04:00;1;;;;;;
69814;04/01/2019;16:14:00;1;;;;;;
69679;04/01/2019;16:16:00;1;;;;;;
69966;04/01/2019;16:23:00;1;;;;;;
69093;04/01/2019;16:29:00;1;;;;;;
69587;04/01/2019;16:34:00;1;;;;;;
69969;04/01/2019;16:48:00;1;;;;;;
69829;04/01/2019;17:35:00;1;;;;;;
69759;04/01/2019;17:38:00;1;;;;;;
69105;04/01/2019;17:40:00;1;;;;;;
69107;04/01/2019;17:58:00;1;;;;;;
69108;04/01/2019;18:00:00;1;;;;;;
73050;04/01/2019;18:01:00;1;;;;;;
69332;04/01/2019;18:26:00;1;;;;;;
69166;04/01/2019;19:16:00;1;;;;;;
69133;04/01/2019;19:31:00;1;;;;;;
69979;04/01/2019;19:47:00;1;;;;;;
69894;04/01/2019;19:52:00;1;;;;;;
69983;04/01/2019;20:44:00;1;;;;;;
69760;04/01/2019;20:58:00;1;;;;;;
69115;04/01/2019;20:59:00;1;;;;;;
69116;04/01/2019;21:05:00;1;;;;;;
69761;04/01/2019;21:05:00;1;;;;;;
69987;04/01/2019;21:31:00;1;;;;;;
69988;04/01/2019;21:31:00;1;;;;;;
69990;04/01/2019;21:49:00;1;;;;;;
69038;04/01/2019;21:51:00;1;;;;;;
69992;04/01/2019;22:00:00;1;;;;;;
73063;04/01/2019;22:13:00;1;;;;;;
69763;04/01/2019;22:15:00;1;;;;;;
69688;04/01/2019;22:17:00;1;;;;;;
